Email;Partners group;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
cmo@betandyou.com;all;;;;;;;;;;;;;;;;;;;
supportaff.lead@betandyou.com;all;;;;;;;;;;;;;;;;;;;
supportaff.lead@betandyou.com;Affiliate 20;;;;;;;;;;;;;;;;;;;
supportaff@betandyou.com;"all
Affiliate Support";;;;;;;;;;;;;;;;;;;
affiliate@betandyou.com;Affiliate 18;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
affiliate5@betandyou.com;affiliate12;;;;;;;;;;;;;;;;;;;
affiliate2@betandyou.com;Affiliate 5;;;;;;;;;;;;;;;;;;;
affiliates@betandyou.com;Affiliate 3;;;;;;;;;;;;;;;;;;;
kayatalu@betandyou.com;Affiliate 1;;;;;;;;;;;;;;;;;;;
affiliate3@betandyou.com;Affiliate 6;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
affiliate4@betandyou.com;Affiliate 4;;;;;;;;;;;;;;;;;;;
afflead.global@betandyou.com;;;;;;;;;;;;;;;;;;;;
affiliate14@betandyou.com;Affiliate 14;;;;;;;;;;;;;;;;;;;
affiliate7@betandyou.com;Affiliate 7;;;;;;;;;;;;;;;;;;;
affiliate17@betandyou.com;Affiliate 17;;;;;;;;;;;;;;;;;;;
agents_support@betandyou.com;Affiliate 15;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
mediabuyer1@betandyou.com;Mediabuy, Mediabuy Blog;;;;;;;;;;;;;;;;;;;
mediabuyer1@betandyou.com;Affiliate 9, 2, 16;;;;;;;;;;;;;;;;;;;
mediabuyer1@betandyou.com;affiliate19;;;;;;;;;;;;;;;;;;;
mediabuying@betandyou.com;Mediabuy1;;;;;;;;;;;;;;;;;;;
affiliate9@betandyou.com;Affiliate 9;;;;;;;;;;;;;;;;;;;
affiliate12@betandyou.com;Affiliate 16;;;;;;;;;;;;;;;;;;;
affiliate1@betandyou.com;Affiliate 2;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
afflead.arabic@betandyou.com;Affiliate TL3;;;;;;;;;;;;;;;;;;;
afflead.arabic@betandyou.com;;;;;;;;;;;;;;;;;;;;
affiliate10@betandyou.com;Affiliate 10;;;;;;;;;;;;;;;;;;;
affiliate11@betandyou.com;Affiliate 11;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
payments@betandyou.com;Mobile Cash 1;;;;;;;;;;;;;;;;;;;
mobcashhead@betandyou.com;;;;;;;;;;;;;;;;;;;;
mobcash.support@betandyou.com;Mobcash Support;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
cashdesk@betandyou.com;Mobile Cash 2;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
influence_manager@betandyou.com;Affiliate Streamers;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
affiliate6@betandyou.com;Affiliate 13;;;;;;;;;;;;;;;;;;;
headaff1@betandyou.com;Affiliate Head;;;;;;;;;;;;;;;;;;;
headaff2@betandyou.com;;;;;;;;;;;;;;;;;;;;
regionalmanager.tr@betandyou.com;Affiliate6;;;;;;;;;;;;;;;;;;;
hoa@betandyou.com;;;;;;;;;;;;;;;;;;;;
afflead3@betandyou.com;;;;;;;;;;;;;;;;;;;;
afflead.account@betandyou.com;;;;;;;;;;;;;;;;;;;;
afflead.asia@betandyou.com;;;;;;;;;;;;;;;;;;;;
affleadcpa@betandyou.com;;;;;;;;;;;;;;;;;;;;
afflead.tr@betandyou.com;;;;;;;;;;;;;;;;;;;;
mediabuying@betandyou.com;;;;;;;;;;;;;;;;;;;;
affiliate8@betandyou.com;Affiliate 8;;;;;;;;;;;;;;;;;;;
affiliate5@betandyou.com;Affiliate 12;;;;;;;;;;;;;;;;;;;
